"                                                    Monthly Statement 2025-06"
"TRADE RECORDS "
Stocks
Currency: USD
Symbol & Name,Trade Date,Settlement Date,Buy/Sell,Quantity,Traded Price,Gross Amount,Comm/Fee/Tax,VAT,Net Amount
NEGG NEWEGG COMMERCE INC,30/06/2025,01/07/2025,SELL,4,15.59,62.36,-0.07,0.00,62.29

FLNC FLUENCE ENERGY INC,30/06/2025,01/07/2025,SELL,9,7.03,63.27,-0.07,0.00,63.20

RXRX RECURSION PHARMACEUTICALS INC,30/06/2025,01/07/2025,SELL,12,5.22,62.64,-0.07,0.00,62.57

NEGG NEWEGG COMMERCE INC,30/06/2025,01/07/2025,SELL,4,14.72,58.88,-0.07,0.00,58.81

NEGG NEWEGG COMMERCE INC,30/06/2025,01/07/2025,SELL,4,13.95,55.80,-0.07,0.00,55.73

NEGG NEWEGG COMMERCE INC,30/06/2025,01/07/2025,SELL,5,13.09,65.45,-0.08,0.00,65.37

FLNC FLUENCE ENERGY INC,30/06/2025,01/07/2025,SELL,9,6.75,60.75,-0.07,0.00,60.68

NEGG NEWEGG COMMERCE INC,30/06/2025,01/07/2025,BUY,8,12.32,98.56,-0.10,-0.01,98.67

QXO QXO INC,30/06/2025,01/07/2025,BUY,3,20.99,62.97,-0.06,0.00,63.03

NVTS NAVITAS SEMICONDUCTOR CORP,30/06/2025,01/07/2025,SELL,9,6.66,59.94,-0.07,0.00,59.87

NVTS NAVITAS SEMICONDUCTOR CORP,27/06/2025,30/06/2025,BUY,9,6.37,57.33,-0.06,0.00,57.39

APLS APELLIS PHARMACEUTICALS INC,27/06/2025,30/06/2025,BUY,3,17.35,52.05,-0.05,0.00,52.10

RXRX RECURSION PHARMACEUTICALS INC,27/06/2025,30/06/2025,BUY,12,5.02,60.24,-0.06,0.00,60.30

AGL AGILON HEALTH INC,27/06/2025,30/06/2025,SELL,26,2.35,61.10,-0.07,0.00,61.03

RXRX RECURSION PHARMACEUTICALS INC,27/06/2025,30/06/2025,BUY,11,5.22,57.42,-0.06,0.00,57.48

APLS APELLIS PHARMACEUTICALS INC,27/06/2025,30/06/2025,BUY,3,18.00,54.00,-0.05,0.00,54.05

RXRX RECURSION PHARMACEUTICALS INC,27/06/2025,30/06/2025,SELL,11,5.44,59.84,-0.07,0.00,59.77

NVTS NAVITAS SEMICONDUCTOR CORP,26/06/2025,27/06/2025,BUY,9,6.64,59.76,-0.06,0.00,59.82

NEGG NEWEGG COMMERCE INC,26/06/2025,27/06/2025,SELL,4,13.77,55.08,-0.07,0.00,55.01

AGL AGILON HEALTH INC,26/06/2025,27/06/2025,SELL,27,2.29,61.70,-0.07,0.00,61.63

RXRX RECURSION PHARMACEUTICALS INC,26/06/2025,27/06/2025,SELL,12,5.22,62.64,-0.07,0.00,62.57

NEGG NEWEGG COMMERCE INC,26/06/2025,27/06/2025,SELL,5,12.93,64.65,-0.07,0.00,64.58

FLNC FLUENCE ENERGY INC,26/06/2025,27/06/2025,SELL,9,6.50,58.50,-0.07,0.00,58.43

NEGG NEWEGG COMMERCE INC,26/06/2025,27/06/2025,SELL,5,12.18,60.90,-0.07,0.00,60.83

NEGG NEWEGG COMMERCE INC,26/06/2025,27/06/2025,BUY,5,11.46,57.30,-0.06,0.00,57.36

QXO QXO INC,26/06/2025,27/06/2025,BUY,6,21.90,131.40,-0.13,-0.01,131.54

NVTS NAVITAS SEMICONDUCTOR CORP,26/06/2025,27/06/2025,BUY,9,6.92,62.28,-0.06,0.00,62.34

NVTS NAVITAS SEMICONDUCTOR CORP,26/06/2025,27/06/2025,BUY,14,7.19,100.66,-0.10,-0.01,100.77

FLNC FLUENCE ENERGY INC,25/06/2025,26/06/2025,SELL,10,6.24,62.40,-0.07,0.00,62.33

FLNC FLUENCE ENERGY INC,25/06/2025,26/06/2025,SELL,10,6.00,60.00,-0.07,0.00,59.93

FLNC FLUENCE ENERGY INC,25/06/2025,26/06/2025,BUY,11,5.78,63.58,-0.06,0.00,63.64

RXRX RECURSION PHARMACEUTICALS INC,25/06/2025,26/06/2025,BUY,12,5.02,60.24,-0.06,0.00,60.30

FFWM FIRST FNDTN INC,25/06/2025,26/06/2025,BUY,12,5.11,61.32,-0.06,0.00,61.38

FLNC FLUENCE ENERGY INC,25/06/2025,26/06/2025,SELL,10,6.02,60.20,-0.07,0.00,60.13

APLS APELLIS PHARMACEUTICALS INC,25/06/2025,26/06/2025,BUY,3,18.70,56.10,-0.06,0.00,56.16

NVTS NAVITAS SEMICONDUCTOR CORP,24/06/2025,25/06/2025,SELL,8,7.39,59.12,-0.07,0.00,59.05

AGL AGILON HEALTH INC,24/06/2025,25/06/2025,SELL,27,2.17,58.59,-0.07,0.00,58.52

NEGG NEWEGG COMMERCE INC,24/06/2025,25/06/2025,SELL,5,12.18,60.90,-0.07,0.00,60.83

NEGG NEWEGG COMMERCE INC,24/06/2025,25/06/2025,SELL,5,11.52,57.60,-0.07,0.00,57.53

NEGG NEWEGG COMMERCE INC,24/06/2025,25/06/2025,SELL,6,10.82,64.92,-0.07,0.00,64.85

APLS APELLIS PHARMACEUTICALS INC,24/06/2025,25/06/2025,SELL,3,18.29,54.87,-0.06,0.00,54.81

APLS APELLIS PHARMACEUTICALS INC,24/06/2025,25/06/2025,SELL,3,18.30,54.91,-0.06,0.00,54.85

APLS APELLIS PHARMACEUTICALS INC,24/06/2025,25/06/2025,SELL,3,18.14,54.42,-0.06,0.00,54.36

FFWM FIRST FNDTN INC,24/06/2025,25/06/2025,SELL,12,5.31,63.72,-0.07,0.00,63.65

RXRX RECURSION PHARMACEUTICALS INC,24/06/2025,25/06/2025,SELL,12,5.22,62.64,-0.07,0.00,62.57

FLNC FLUENCE ENERGY INC,24/06/2025,25/06/2025,SELL,10,5.80,58.00,-0.07,0.00,57.93

NVTS NAVITAS SEMICONDUCTOR CORP,24/06/2025,25/06/2025,SELL,8,7.12,56.96,-0.07,0.00,56.89

RXRX RECURSION PHARMACEUTICALS INC,24/06/2025,25/06/2025,SELL,12,5.02,60.24,-0.07,0.00,60.17

NVTS NAVITAS SEMICONDUCTOR CORP,24/06/2025,25/06/2025,SELL,9,6.84,61.56,-0.07,0.00,61.49

RXRX RECURSION PHARMACEUTICALS INC,24/06/2025,25/06/2025,BUY,11,4.97,54.67,-0.05,0.00,54.72

RXRX RECURSION PHARMACEUTICALS INC,24/06/2025,25/06/2025,BUY,12,4.97,59.64,-0.06,0.00,59.70

NVTS NAVITAS SEMICONDUCTOR CORP,23/06/2025,24/06/2025,SELL,9,6.84,61.56,-0.07,0.00,61.49

NVTS NAVITAS SEMICONDUCTOR CORP,23/06/2025,24/06/2025,SELL,9,6.58,59.22,-0.07,0.00,59.15

NVTS NAVITAS SEMICONDUCTOR CORP,23/06/2025,24/06/2025,BUY,10,6.34,63.40,-0.06,0.00,63.46

FLNC FLUENCE ENERGY INC,23/06/2025,24/06/2025,BUY,11,5.58,61.38,-0.06,0.00,61.44

NVTS NAVITAS SEMICONDUCTOR CORP,23/06/2025,24/06/2025,BUY,9,6.61,59.49,-0.06,0.00,59.55

APLS APELLIS PHARMACEUTICALS INC,23/06/2025,24/06/2025,BUY,3,17.35,52.05,-0.05,0.00,52.10

NVTS NAVITAS SEMICONDUCTOR CORP,23/06/2025,24/06/2025,BUY,9,6.86,61.74,-0.06,0.00,61.80

NVTS NAVITAS SEMICONDUCTOR CORP,23/06/2025,24/06/2025,SELL,8,7.19,57.52,-0.07,0.00,57.45

NVTS NAVITAS SEMICONDUCTOR CORP,23/06/2025,24/06/2025,SELL,9,6.90,62.10,-0.07,0.00,62.03

NVTS NAVITAS SEMICONDUCTOR CORP,23/06/2025,24/06/2025,BUY,9,6.64,59.76,-0.06,0.00,59.82

FLNC FLUENCE ENERGY INC,23/06/2025,24/06/2025,BUY,10,5.78,57.80,-0.06,0.00,57.86

AGL AGILON HEALTH INC,23/06/2025,24/06/2025,BUY,30,2.09,62.70,-0.06,0.00,62.76

NVTS NAVITAS SEMICONDUCTOR CORP,20/06/2025,23/06/2025,SELL,9,6.90,62.10,-0.07,0.00,62.03

FLNC FLUENCE ENERGY INC,20/06/2025,23/06/2025,SELL,10,6.05,60.50,-0.07,0.00,60.43

NVTS NAVITAS SEMICONDUCTOR CORP,20/06/2025,23/06/2025,BUY,9,6.82,61.38,-0.06,0.00,61.44

NVTS NAVITAS SEMICONDUCTOR CORP,20/06/2025,23/06/2025,BUY,14,6.89,96.46,-0.10,-0.01,96.57

