"                                                    Monthly Statement 2025-10"
"TRADE RECORDS "
Stocks
Currency: USD
Symbol & Name,Trade Date,Settlement Date,Buy/Sell,Quantity,Traded Price,Gross Amount,Comm/Fee/Tax,VAT,Net Amount
APLS APELLIS PHARMACEUTICALS INC,31/10/2025,03/11/2025,SELL,4,20.64,82.56,-0.09,-0.01,82.46

FLNC FLUENCE ENERGY INC,31/10/2025,03/11/2025,BUY,6,21.03,126.18,-0.13,-0.01,126.32

FLNC FLUENCE ENERGY INC,31/10/2025,03/11/2025,SELL,6,21.51,129.06,-0.14,-0.01,128.91

FLNC FLUENCE ENERGY INC,31/10/2025,03/11/2025,BUY,6,21.03,126.18,-0.13,-0.01,126.32

FLNC FLUENCE ENERGY INC,31/10/2025,03/11/2025,SELL,6,21.51,129.06,-0.14,-0.01,128.91

FLNC FLUENCE ENERGY INC,31/10/2025,03/11/2025,BUY,5,21.37,106.85,-0.11,-0.01,106.97

APLS APELLIS PHARMACEUTICALS INC,31/10/2025,03/11/2025,SELL,4,20.00,80.00,-0.09,-0.01,79.90

FLNC FLUENCE ENERGY INC,31/10/2025,03/11/2025,SELL,6,21.42,128.52,-0.14,-0.01,128.37

APLS APELLIS PHARMACEUTICALS INC,31/10/2025,03/11/2025,BUY,4,19.36,77.44,-0.08,-0.01,77.53

FLNC FLUENCE ENERGY INC,31/10/2025,03/11/2025,BUY,6,20.94,125.64,-0.13,-0.01,125.78

FLNC FLUENCE ENERGY INC,31/10/2025,03/11/2025,SELL,6,21.42,128.52,-0.14,-0.01,128.37

APLS APELLIS PHARMACEUTICALS INC,31/10/2025,03/11/2025,BUY,4,20.00,80.00,-0.08,-0.01,80.09

FLNC FLUENCE ENERGY INC,31/10/2025,03/11/2025,SELL,6,20.90,125.40,-0.14,-0.01,125.25

FLNC FLUENCE ENERGY INC,31/10/2025,03/11/2025,SELL,6,20.40,122.40,-0.13,-0.01,122.26

FLNC FLUENCE ENERGY INC,31/10/2025,03/11/2025,BUY,6,19.92,119.52,-0.12,-0.01,119.65

FLNC FLUENCE ENERGY INC,31/10/2025,03/11/2025,BUY,6,20.42,122.52,-0.12,-0.01,122.65

FFWM FIRST FNDTN INC,31/10/2025,03/11/2025,BUY,11,5.31,58.41,-0.06,0.00,58.47

NVTS NAVITAS SEMICONDUCTOR CORP,31/10/2025,03/11/2025,SELL,5,13.10,65.50,-0.08,0.00,65.42

APLS APELLIS PHARMACEUTICALS INC,31/10/2025,03/11/2025,SELL,4,21.32,85.28,-0.10,-0.01,85.17

AGL AGILON HEALTH INC,31/10/2025,03/11/2025,SELL,66,0.81,53.46,-0.06,0.00,53.40

RIVN RIVIAN AUTOMOTIVE INC,31/10/2025,03/11/2025,BUY,5,13.12,65.60,-0.07,0.00,65.67

NVTS NAVITAS SEMICONDUCTOR CORP,31/10/2025,03/11/2025,SELL,6,12.94,77.64,-0.09,-0.01,77.54

GERN GERON CORP,31/10/2025,03/11/2025,SELL,47,1.25,58.64,-0.07,0.00,58.57

FLNC FLUENCE ENERGY INC,31/10/2025,03/11/2025,BUY,6,20.94,125.64,-0.13,-0.01,125.78

AGL AGILON HEALTH INC,30/10/2025,31/10/2025,BUY,108,0.81,87.48,-0.09,-0.01,87.58

NVTS NAVITAS SEMICONDUCTOR CORP,30/10/2025,31/10/2025,BUY,6,12.61,75.66,-0.08,-0.01,75.75

APLS APELLIS PHARMACEUTICALS INC,30/10/2025,31/10/2025,BUY,3,23.05,69.15,-0.07,0.00,69.22

APLS APELLIS PHARMACEUTICALS INC,30/10/2025,31/10/2025,BUY,3,23.59,70.76,-0.07,0.00,70.83

APLS APELLIS PHARMACEUTICALS INC,30/10/2025,31/10/2025,BUY,3,23.73,71.19,-0.07,0.00,71.26

APLS APELLIS PHARMACEUTICALS INC,30/10/2025,31/10/2025,BUY,10,24.01,240.08,-0.24,-0.02,240.34

APLS APELLIS PHARMACEUTICALS INC,30/10/2025,31/10/2025,SELL,3,24.57,73.71,-0.08,0.00,73.63

APLS APELLIS PHARMACEUTICALS INC,30/10/2025,31/10/2025,SELL,3,24.57,73.71,-0.08,0.00,73.63

APLS APELLIS PHARMACEUTICALS INC,30/10/2025,31/10/2025,SELL,3,24.36,73.07,-0.08,0.00,72.99

AGL AGILON HEALTH INC,30/10/2025,31/10/2025,BUY,113,0.86,97.18,-0.10,-0.01,97.29

IBRX IMMUNITYBIO INC,30/10/2025,31/10/2025,BUY,24,2.37,56.88,-0.06,0.00,56.94

DYN DYNE THERAPEUTICS INC,30/10/2025,31/10/2025,BUY,3,23.50,70.50,-0.07,0.00,70.57

NVTS NAVITAS SEMICONDUCTOR CORP,30/10/2025,31/10/2025,BUY,5,13.04,65.20,-0.07,0.00,65.27

APLS APELLIS PHARMACEUTICALS INC,30/10/2025,31/10/2025,BUY,3,27.50,82.50,-0.08,-0.01,82.59

APLS APELLIS PHARMACEUTICALS INC,30/10/2025,31/10/2025,BUY,3,28.47,85.41,-0.09,-0.01,85.51

APLS APELLIS PHARMACEUTICALS INC,30/10/2025,31/10/2025,BUY,3,29.51,88.53,-0.09,-0.01,88.63

GERN GERON CORP,30/10/2025,31/10/2025,BUY,47,1.24,58.28,-0.06,0.00,58.34

IBRX IMMUNITYBIO INC,30/10/2025,31/10/2025,BUY,48,2.45,117.56,-0.12,-0.01,117.69

DYN DYNE THERAPEUTICS INC,29/10/2025,30/10/2025,SELL,3,25.05,75.15,-0.09,-0.01,75.05

AGL AGILON HEALTH INC,29/10/2025,30/10/2025,BUY,113,0.86,97.18,-0.10,-0.01,97.29

LUNR INTUITIVE MACHINES INC,29/10/2025,30/10/2025,BUY,5,11.90,59.50,-0.06,0.00,59.56

NVTS NAVITAS SEMICONDUCTOR CORP,29/10/2025,30/10/2025,BUY,5,13.04,65.20,-0.07,0.00,65.27

RXRX RECURSION PHARMACEUTICALS INC,29/10/2025,30/10/2025,BUY,11,5.71,62.81,-0.06,0.00,62.87

GERN GERON CORP,29/10/2025,30/10/2025,BUY,47,1.24,58.28,-0.06,0.00,58.34

CLSK CLEANSPARK INC,29/10/2025,30/10/2025,BUY,6,18.91,113.46,-0.11,-0.01,113.58

FLNC FLUENCE ENERGY INC,29/10/2025,30/10/2025,SELL,6,20.90,125.40,-0.14,-0.01,125.25

CLSK CLEANSPARK INC,29/10/2025,30/10/2025,BUY,6,19.33,115.98,-0.12,-0.01,116.11

