"                                                    Monthly Statement 2025-10"
"TRADE RECORDS "
Stocks
Currency: USD
Symbol & Name,Trade Date,Settlement Date,Buy/Sell,Quantity,Traded Price,Gross Amount,Comm/Fee/Tax,VAT,Net Amount
FLNC FLUENCE ENERGY INC,29/10/2025,30/10/2025,SELL,6,20.40,122.40,-0.13,-0.01,122.26

NVTS NAVITAS SEMICONDUCTOR CORP,29/10/2025,30/10/2025,SELL,5,13.53,67.65,-0.08,0.00,67.57

FLNC FLUENCE ENERGY INC,29/10/2025,30/10/2025,SELL,6,20.40,122.40,-0.13,-0.01,122.26

RIVN RIVIAN AUTOMOTIVE INC,29/10/2025,30/10/2025,SELL,4,13.81,55.24,-0.07,0.00,55.17

FLNC FLUENCE ENERGY INC,29/10/2025,30/10/2025,SELL,6,19.92,119.52,-0.13,-0.01,119.38

FLNC FLUENCE ENERGY INC,29/10/2025,30/10/2025,SELL,6,19.47,116.82,-0.13,-0.01,116.68

CLSK CLEANSPARK INC,29/10/2025,30/10/2025,SELL,6,19.78,118.68,-0.13,-0.01,118.54

FLNC FLUENCE ENERGY INC,29/10/2025,30/10/2025,SELL,6,19.03,114.18,-0.12,-0.01,114.05

FLNC FLUENCE ENERGY INC,29/10/2025,30/10/2025,BUY,6,18.56,111.36,-0.11,-0.01,111.48

CLSK CLEANSPARK INC,29/10/2025,30/10/2025,BUY,6,19.33,115.98,-0.12,-0.01,116.11

FLNC FLUENCE ENERGY INC,29/10/2025,30/10/2025,BUY,6,18.99,113.94,-0.11,-0.01,114.06

CLSK CLEANSPARK INC,29/10/2025,30/10/2025,BUY,6,19.77,118.62,-0.12,-0.01,118.75

CLSK CLEANSPARK INC,29/10/2025,30/10/2025,BUY,6,19.77,118.62,-0.12,-0.01,118.75

FLNC FLUENCE ENERGY INC,29/10/2025,30/10/2025,SELL,6,19.47,116.82,-0.13,-0.01,116.68

CLSK CLEANSPARK INC,29/10/2025,30/10/2025,BUY,6,19.91,119.46,-0.12,-0.01,119.59

CLSK CLEANSPARK INC,29/10/2025,30/10/2025,SELL,6,20.69,124.14,-0.13,-0.01,124.00

FLNC FLUENCE ENERGY INC,29/10/2025,30/10/2025,SELL,6,19.03,114.18,-0.12,-0.01,114.05

CLSK CLEANSPARK INC,29/10/2025,30/10/2025,SELL,6,20.22,121.32,-0.13,-0.01,121.18

CLSK CLEANSPARK INC,29/10/2025,30/10/2025,SELL,6,19.78,118.68,-0.13,-0.01,118.54

RXRX RECURSION PHARMACEUTICALS INC,29/10/2025,30/10/2025,BUY,17,5.96,101.32,-0.10,-0.01,101.43

GERN GERON CORP,29/10/2025,30/10/2025,SELL,47,1.29,60.63,-0.07,0.00,60.56

FLNC FLUENCE ENERGY INC,29/10/2025,30/10/2025,SELL,6,18.75,112.50,-0.12,-0.01,112.37

CLSK CLEANSPARK INC,29/10/2025,30/10/2025,BUY,8,19.31,154.48,-0.15,-0.01,154.64

AGL AGILON HEALTH INC,28/10/2025,29/10/2025,BUY,100,0.92,92.00,-0.09,-0.01,92.10

CLSK CLEANSPARK INC,28/10/2025,29/10/2025,BUY,6,19.92,119.52,-0.12,-0.01,119.65

FLNC FLUENCE ENERGY INC,28/10/2025,29/10/2025,BUY,7,18.21,127.47,-0.13,-0.01,127.61

CLSK CLEANSPARK INC,28/10/2025,29/10/2025,BUY,6,20.39,122.34,-0.12,-0.01,122.47

LUNR INTUITIVE MACHINES INC,28/10/2025,29/10/2025,BUY,5,12.41,62.05,-0.06,0.00,62.11

NVTS NAVITAS SEMICONDUCTOR CORP,28/10/2025,29/10/2025,BUY,5,13.04,65.20,-0.07,0.00,65.27

FFWM FIRST FNDTN INC,28/10/2025,29/10/2025,BUY,11,5.54,60.94,-0.06,0.00,61.00

APLS APELLIS PHARMACEUTICALS INC,28/10/2025,29/10/2025,SELL,3,30.35,91.05,-0.10,-0.01,90.94

CLSK CLEANSPARK INC,28/10/2025,29/10/2025,SELL,6,20.85,125.10,-0.14,-0.01,124.95

FLNC FLUENCE ENERGY INC,28/10/2025,29/10/2025,BUY,6,18.63,111.78,-0.11,-0.01,111.90

FLNC FLUENCE ENERGY INC,28/10/2025,29/10/2025,SELL,6,19.10,114.60,-0.12,-0.01,114.47

NVTS NAVITAS SEMICONDUCTOR CORP,28/10/2025,29/10/2025,BUY,5,13.50,67.50,-0.07,0.00,67.57

FLNC FLUENCE ENERGY INC,28/10/2025,29/10/2025,BUY,6,18.63,111.78,-0.11,-0.01,111.90

CLSK CLEANSPARK INC,28/10/2025,29/10/2025,SELL,6,20.38,122.28,-0.13,-0.01,122.14

DJT TRUMP MEDIA & TECHNOLOGY GROUP,28/10/2025,29/10/2025,SELL,4,16.53,66.12,-0.08,0.00,66.04

NVTS NAVITAS SEMICONDUCTOR CORP,28/10/2025,29/10/2025,BUY,2,13.85,27.70,-0.03,0.00,27.73

NVTS NAVITAS SEMICONDUCTOR CORP,28/10/2025,29/10/2025,BUY,5,13.67,68.35,-0.07,0.00,68.42

CLSK CLEANSPARK INC,28/10/2025,29/10/2025,BUY,6,19.92,119.52,-0.12,-0.01,119.65

DYN DYNE THERAPEUTICS INC,28/10/2025,29/10/2025,BUY,3,24.14,72.42,-0.07,0.00,72.49

FFWM FIRST FNDTN INC,27/10/2025,28/10/2025,SELL,11,5.76,63.36,-0.07,0.00,63.29

CLSK CLEANSPARK INC,27/10/2025,28/10/2025,SELL,6,20.38,122.28,-0.13,-0.01,122.14

RXRX RECURSION PHARMACEUTICALS INC,27/10/2025,28/10/2025,SELL,10,6.37,63.70,-0.07,0.00,63.63

FLNC FLUENCE ENERGY INC,27/10/2025,28/10/2025,SELL,6,19.10,114.60,-0.12,-0.01,114.47

FLNC FLUENCE ENERGY INC,27/10/2025,28/10/2025,SELL,6,18.69,112.14,-0.12,-0.01,112.01

IBRX IMMUNITYBIO INC,27/10/2025,28/10/2025,SELL,24,2.62,62.88,-0.07,0.00,62.81

RIVN RIVIAN AUTOMOTIVE INC,27/10/2025,28/10/2025,SELL,4,13.33,53.32,-0.06,0.00,53.26

FLNC FLUENCE ENERGY INC,27/10/2025,28/10/2025,BUY,6,18.63,111.78,-0.11,-0.01,111.90

APLS APELLIS PHARMACEUTICALS INC,27/10/2025,28/10/2025,SELL,3,29.32,87.96,-0.10,-0.01,87.85

FLNC FLUENCE ENERGY INC,27/10/2025,28/10/2025,BUY,6,19.06,114.36,-0.11,-0.01,114.48

FLNC FLUENCE ENERGY INC,27/10/2025,28/10/2025,BUY,6,19.06,114.36,-0.11,-0.01,114.48

FLNC FLUENCE ENERGY INC,27/10/2025,28/10/2025,BUY,6,19.52,117.12,-0.12,-0.01,117.25

FLNC FLUENCE ENERGY INC,27/10/2025,28/10/2025,SELL,6,20.00,120.00,-0.13,-0.01,119.86

FLNC FLUENCE ENERGY INC,27/10/2025,28/10/2025,BUY,6,19.52,117.12,-0.12,-0.01,117.25

CLSK CLEANSPARK INC,27/10/2025,28/10/2025,SELL,6,20.10,120.60,-0.13,-0.01,120.46

FLNC FLUENCE ENERGY INC,27/10/2025,28/10/2025,BUY,50,19.27,963.43,-0.96,-0.07,964.46

CLSK CLEANSPARK INC,27/10/2025,28/10/2025,BUY,72,19.78,1424.15,-1.42,-0.10,1425.67

IBRX IMMUNITYBIO INC,27/10/2025,28/10/2025,SELL,24,2.53,60.72,-0.07,0.00,60.65

NVTS NAVITAS SEMICONDUCTOR CORP,27/10/2025,28/10/2025,SELL,5,14.68,73.40,-0.08,0.00,73.32

SG SWEETGREEN INC,27/10/2025,28/10/2025,BUY,4,7.49,29.96,-0.03,0.00,29.99

SG SWEETGREEN INC,27/10/2025,28/10/2025,BUY,8,7.50,60.00,-0.06,0.00,60.06

DYN DYNE THERAPEUTICS INC,27/10/2025,28/10/2025,SELL,2,20.76,41.52,-0.05,0.00,41.47

DYN DYNE THERAPEUTICS INC,27/10/2025,28/10/2025,SELL,3,20.80,62.40,-0.07,0.00,62.33

DYN DYNE THERAPEUTICS INC,27/10/2025,28/10/2025,SELL,3,20.62,61.86,-0.07,0.00,61.79

RXRX RECURSION PHARMACEUTICALS INC,24/10/2025,27/10/2025,SELL,10,6.12,61.20,-0.07,0.00,61.13

NVTS NAVITAS SEMICONDUCTOR CORP,24/10/2025,27/10/2025,BUY,5,14.19,70.95,-0.07,0.00,71.02

NVTS NAVITAS SEMICONDUCTOR CORP,24/10/2025,27/10/2025,SELL,5,14.68,73.40,-0.08,0.00,73.32

DYN DYNE THERAPEUTICS INC,24/10/2025,27/10/2025,SELL,3,17.14,51.42,-0.06,0.00,51.36

NVTS NAVITAS SEMICONDUCTOR CORP,24/10/2025,27/10/2025,BUY,5,14.19,70.95,-0.07,0.00,71.02

LUNR INTUITIVE MACHINES INC,24/10/2025,27/10/2025,SELL,5,12.89,64.45,-0.07,0.00,64.38

NVTS NAVITAS SEMICONDUCTOR CORP,24/10/2025,27/10/2025,SELL,5,14.68,73.40,-0.08,0.00,73.32

IBRX IMMUNITYBIO INC,24/10/2025,27/10/2025,SELL,24,2.45,58.80,-0.07,0.00,58.73

FLNC FLUENCE ENERGY INC,24/10/2025,27/10/2025,SELL,4,16.84,67.36,-0.08,0.00,67.28

DYN DYNE THERAPEUTICS INC,24/10/2025,27/10/2025,BUY,4,16.55,66.20,-0.07,0.00,66.27

RXRX RECURSION PHARMACEUTICALS INC,24/10/2025,27/10/2025,SELL,10,5.89,58.90,-0.07,0.00,58.83

NVTS NAVITAS SEMICONDUCTOR CORP,24/10/2025,27/10/2025,BUY,26,14.14,367.64,-0.37,-0.03,368.04

LUNR INTUITIVE MACHINES INC,24/10/2025,27/10/2025,BUY,7,12.36,86.52,-0.09,-0.01,86.62

FLNC FLUENCE ENERGY INC,23/10/2025,24/10/2025,SELL,7,16.46,115.22,-0.13,-0.01,115.08

CLSK CLEANSPARK INC,23/10/2025,24/10/2025,SELL,6,17.71,106.26,-0.12,-0.01,106.13

CLSK CLEANSPARK INC,23/10/2025,24/10/2025,SELL,7,17.32,121.24,-0.13,-0.01,121.10

AGL AGILON HEALTH INC,23/10/2025,24/10/2025,SELL,65,0.98,63.70,-0.07,0.00,63.63

RXRX RECURSION PHARMACEUTICALS INC,23/10/2025,24/10/2025,BUY,10,5.65,56.50,-0.06,0.00,56.56

SG SWEETGREEN INC,23/10/2025,24/10/2025,SELL,8,7.96,63.68,-0.07,0.00,63.61

QXO QXO INC,23/10/2025,24/10/2025,BUY,8,18.39,147.12,-0.15,-0.01,147.28

AGL AGILON HEALTH INC,23/10/2025,24/10/2025,BUY,125,0.93,116.25,-0.12,-0.01,116.38

CLSK CLEANSPARK INC,23/10/2025,24/10/2025,BUY,7,16.93,118.51,-0.12,-0.01,118.64

FLNC FLUENCE ENERGY INC,23/10/2025,24/10/2025,SELL,7,16.10,112.70,-0.12,-0.01,112.57

FLNC FLUENCE ENERGY INC,23/10/2025,24/10/2025,SELL,8,16.00,128.00,-0.14,-0.01,127.85

FLNC FLUENCE ENERGY INC,23/10/2025,24/10/2025,SELL,8,16.00,128.00,-0.14,-0.01,127.85

RXRX RECURSION PHARMACEUTICALS INC,23/10/2025,24/10/2025,SELL,10,5.95,59.50,-0.07,0.00,59.43

FLNC FLUENCE ENERGY INC,22/10/2025,23/10/2025,SELL,8,14.97,119.76,-0.13,-0.01,119.62

CLSK CLEANSPARK INC,22/10/2025,23/10/2025,SELL,7,16.70,116.90,-0.13,-0.01,116.76

CLSK CLEANSPARK INC,22/10/2025,23/10/2025,BUY,7,16.49,115.43,-0.12,-0.01,115.56

SG SWEETGREEN INC,22/10/2025,23/10/2025,BUY,8,7.66,61.28,-0.06,0.00,61.34

CLSK CLEANSPARK INC,22/10/2025,23/10/2025,SELL,90,16.92,1522.35,-1.53,-0.11,1520.71

FLNC FLUENCE ENERGY INC,22/10/2025,23/10/2025,BUY,29,14.49,420.21,-0.42,-0.03,420.66

FLNC FLUENCE ENERGY INC,22/10/2025,23/10/2025,SELL,25,14.64,366.00,-0.38,-0.03,365.59

FLNC FLUENCE ENERGY INC,22/10/2025,23/10/2025,SELL,25,14.60,365.00,-0.38,-0.03,364.59

FLNC FLUENCE ENERGY INC,22/10/2025,23/10/2025,SELL,50,14.66,733.00,-0.74,-0.05,732.21

CLSK CLEANSPARK INC,22/10/2025,23/10/2025,BUY,7,16.89,118.23,-0.12,-0.01,118.36

RIVN RIVIAN AUTOMOTIVE INC,22/10/2025,23/10/2025,BUY,5,12.86,64.30,-0.06,0.00,64.36

CLSK CLEANSPARK INC,22/10/2025,23/10/2025,BUY,7,17.30,121.10,-0.12,-0.01,121.23

RXRX RECURSION PHARMACEUTICALS INC,22/10/2025,23/10/2025,BUY,11,5.67,62.37,-0.06,0.00,62.43

DJT TRUMP MEDIA & TECHNOLOGY GROUP,22/10/2025,23/10/2025,BUY,4,15.69,62.76,-0.06,0.00,62.82

GERN GERON CORP,22/10/2025,23/10/2025,BUY,47,1.24,58.28,-0.06,0.00,58.34

CLSK CLEANSPARK INC,22/10/2025,23/10/2025,BUY,7,17.75,124.25,-0.12,-0.01,124.38

IBRX IMMUNITYBIO INC,22/10/2025,23/10/2025,BUY,24,2.37,56.88,-0.06,0.00,56.94

RXRX RECURSION PHARMACEUTICALS INC,22/10/2025,23/10/2025,BUY,10,5.90,59.00,-0.06,0.00,59.06

CLSK CLEANSPARK INC,22/10/2025,23/10/2025,BUY,7,18.21,127.47,-0.13,-0.01,127.61

CLSK CLEANSPARK INC,22/10/2025,23/10/2025,SELL,6,18.69,112.14,-0.12,-0.01,112.01

APLS APELLIS PHARMACEUTICALS INC,22/10/2025,23/10/2025,SELL,3,28.35,85.05,-0.10,-0.01,84.94

SG SWEETGREEN INC,22/10/2025,23/10/2025,BUY,7,7.96,55.72,-0.06,0.00,55.78

CLSK CLEANSPARK INC,22/10/2025,23/10/2025,SELL,7,18.22,127.54,-0.14,-0.01,127.39

FLNC FLUENCE ENERGY INC,22/10/2025,23/10/2025,BUY,7,15.95,111.65,-0.11,-0.01,111.77

CLSK CLEANSPARK INC,22/10/2025,23/10/2025,BUY,7,17.81,124.67,-0.12,-0.01,124.80

FLNC FLUENCE ENERGY INC,22/10/2025,23/10/2025,SELL,7,16.36,114.52,-0.12,-0.01,114.39

FLNC FLUENCE ENERGY INC,22/10/2025,23/10/2025,BUY,8,16.00,128.00,-0.13,-0.01,128.14

APLS APELLIS PHARMACEUTICALS INC,22/10/2025,23/10/2025,BUY,3,27.50,82.50,-0.08,-0.01,82.59

SG SWEETGREEN INC,22/10/2025,23/10/2025,SELL,7,8.30,58.10,-0.07,0.00,58.03

FLNC FLUENCE ENERGY INC,22/10/2025,23/10/2025,BUY,36,16.33,587.88,-0.59,-0.04,588.51

CLSK CLEANSPARK INC,22/10/2025,23/10/2025,BUY,41,18.17,744.97,-0.74,-0.05,745.76

SG SWEETGREEN INC,21/10/2025,22/10/2025,SELL,8,7.96,63.68,-0.07,0.00,63.61

APLS APELLIS PHARMACEUTICALS INC,21/10/2025,22/10/2025,SELL,3,28.35,85.05,-0.10,-0.01,84.94

RXRX RECURSION PHARMACEUTICALS INC,21/10/2025,22/10/2025,BUY,10,6.15,61.50,-0.06,0.00,61.56

FFWM FIRST FNDTN INC,21/10/2025,22/10/2025,SELL,11,5.53,60.83,-0.07,0.00,60.76

RIVN RIVIAN AUTOMOTIVE INC,21/10/2025,22/10/2025,SELL,4,13.45,53.80,-0.06,0.00,53.74

GERN GERON CORP,21/10/2025,22/10/2025,SELL,47,1.29,60.63,-0.07,0.00,60.56

QXO QXO INC,21/10/2025,22/10/2025,SELL,4,19.57,78.28,-0.09,-0.01,78.18

RXRX RECURSION PHARMACEUTICALS INC,21/10/2025,22/10/2025,BUY,9,6.40,57.60,-0.06,0.00,57.66

QXO QXO INC,21/10/2025,22/10/2025,BUY,4,19.02,76.08,-0.08,-0.01,76.17

RXRX RECURSION PHARMACEUTICALS INC,21/10/2025,22/10/2025,BUY,9,6.67,60.03,-0.06,0.00,60.09

RXRX RECURSION PHARMACEUTICALS INC,21/10/2025,22/10/2025,SELL,9,6.93,62.37,-0.07,0.00,62.30

FLNC FLUENCE ENERGY INC,20/10/2025,21/10/2025,SELL,6,18.62,111.72,-0.12,-0.01,111.59

DYN DYNE THERAPEUTICS INC,20/10/2025,21/10/2025,SELL,3,17.33,51.99,-0.06,0.00,51.93

RXRX RECURSION PHARMACEUTICALS INC,20/10/2025,21/10/2025,BUY,9,6.67,60.03,-0.06,0.00,60.09

APLS APELLIS PHARMACEUTICALS INC,20/10/2025,21/10/2025,SELL,3,27.45,82.35,-0.09,-0.01,82.25

AGL AGILON HEALTH INC,20/10/2025,21/10/2025,SELL,60,1.02,61.20,-0.07,0.00,61.13

FLNC FLUENCE ENERGY INC,20/10/2025,21/10/2025,BUY,7,18.21,127.47,-0.13,-0.01,127.61

FLNC FLUENCE ENERGY INC,20/10/2025,21/10/2025,BUY,6,18.46,110.76,-0.11,-0.01,110.88

APLS APELLIS PHARMACEUTICALS INC,20/10/2025,21/10/2025,SELL,3,26.60,79.80,-0.09,-0.01,79.70

APLS APELLIS PHARMACEUTICALS INC,20/10/2025,21/10/2025,SELL,3,25.80,77.40,-0.09,-0.01,77.30

NVTS NAVITAS SEMICONDUCTOR CORP,20/10/2025,21/10/2025,SELL,4,17.39,69.56,-0.08,0.00,69.48

AGL AGILON HEALTH INC,20/10/2025,21/10/2025,BUY,60,1.00,60.00,-0.06,0.00,60.06

AGL AGILON HEALTH INC,20/10/2025,21/10/2025,SELL,60,1.02,61.20,-0.07,0.00,61.13

RXRX RECURSION PHARMACEUTICALS INC,20/10/2025,21/10/2025,SELL,8,6.96,55.68,-0.07,0.00,55.61

LUNR INTUITIVE MACHINES INC,20/10/2025,21/10/2025,SELL,5,13.11,65.55,-0.08,0.00,65.47

SG SWEETGREEN INC,20/10/2025,21/10/2025,SELL,8,7.65,61.20,-0.07,0.00,61.13

NVTS NAVITAS SEMICONDUCTOR CORP,20/10/2025,21/10/2025,SELL,4,16.83,67.32,-0.08,0.00,67.24

NVTS NAVITAS SEMICONDUCTOR CORP,20/10/2025,21/10/2025,SELL,4,16.30,65.20,-0.08,0.00,65.12

AGL AGILON HEALTH INC,20/10/2025,21/10/2025,SELL,65,0.98,63.70,-0.07,0.00,63.63

RXRX RECURSION PHARMACEUTICALS INC,20/10/2025,21/10/2025,SELL,9,6.70,60.30,-0.07,0.00,60.23

NVTS NAVITAS SEMICONDUCTOR CORP,20/10/2025,21/10/2025,SELL,4,15.80,63.20,-0.07,0.00,63.13

RXRX RECURSION PHARMACEUTICALS INC,20/10/2025,21/10/2025,SELL,9,6.45,58.05,-0.07,0.00,57.98

APLS APELLIS PHARMACEUTICALS INC,20/10/2025,21/10/2025,SELL,3,25.05,75.15,-0.09,-0.01,75.05

CLSK CLEANSPARK INC,20/10/2025,21/10/2025,SELL,6,21.42,128.52,-0.14,-0.01,128.37

CLSK CLEANSPARK INC,20/10/2025,21/10/2025,SELL,6,20.90,125.40,-0.14,-0.01,125.25

FLNC FLUENCE ENERGY INC,20/10/2025,21/10/2025,SELL,50,19.90,995.00,-1.01,-0.07,993.92

CLSK CLEANSPARK INC,20/10/2025,21/10/2025,SELL,6,20.40,122.40,-0.13,-0.01,122.26

FLNC FLUENCE ENERGY INC,20/10/2025,21/10/2025,SELL,25,19.76,494.00,-0.50,-0.03,493.47

FLNC FLUENCE ENERGY INC,20/10/2025,21/10/2025,SELL,25,19.76,494.00,-0.50,-0.03,493.47

LUNR INTUITIVE MACHINES INC,20/10/2025,21/10/2025,SELL,5,12.78,63.90,-0.07,0.00,63.83

CLSK CLEANSPARK INC,20/10/2025,21/10/2025,SELL,6,20.21,121.26,-0.13,-0.01,121.12

RXRX RECURSION PHARMACEUTICALS INC,20/10/2025,21/10/2025,BUY,10,6.03,60.30,-0.06,0.00,60.36

RXRX RECURSION PHARMACEUTICALS INC,20/10/2025,21/10/2025,BUY,9,6.03,54.27,-0.05,0.00,54.32

RXRX RECURSION PHARMACEUTICALS INC,20/10/2025,21/10/2025,BUY,9,6.02,54.18,-0.05,0.00,54.23

IBRX IMMUNITYBIO INC,20/10/2025,21/10/2025,BUY,24,2.45,58.80,-0.06,0.00,58.86

IBRX IMMUNITYBIO INC,20/10/2025,21/10/2025,BUY,24,2.45,58.80,-0.06,0.00,58.86

FLNC FLUENCE ENERGY INC,17/10/2025,20/10/2025,SELL,6,18.90,113.40,-0.12,-0.01,113.27

DJT TRUMP MEDIA & TECHNOLOGY GROUP,17/10/2025,20/10/2025,SELL,4,16.30,65.20,-0.08,0.00,65.12

FLNC FLUENCE ENERGY INC,17/10/2025,20/10/2025,BUY,3,18.42,55.26,-0.06,0.00,55.32

FLNC FLUENCE ENERGY INC,17/10/2025,20/10/2025,BUY,6,18.84,113.04,-0.11,-0.01,113.16

FLNC FLUENCE ENERGY INC,17/10/2025,20/10/2025,BUY,6,19.29,115.74,-0.12,-0.01,115.87

FLNC FLUENCE ENERGY INC,17/10/2025,20/10/2025,SELL,6,19.77,118.62,-0.13,-0.01,118.48

