"                                                    Monthly Statement 2025-09"
"TRADE RECORDS "
Stocks
Currency: USD
Symbol & Name,Trade Date,Settlement Date,Buy/Sell,Quantity,Traded Price,Gross Amount,Comm/Fee/Tax,VAT,Net Amount
GERN GERON CORP,30/09/2025,01/10/2025,SELL,42,1.36,57.12,-0.07,0.00,57.05

FLNC FLUENCE ENERGY INC,30/09/2025,01/10/2025,BUY,6,10.59,63.54,-0.06,0.00,63.60

IBRX IMMUNITYBIO INC,30/09/2025,01/10/2025,BUY,24,2.44,58.56,-0.06,0.00,58.62

RXRX RECURSION PHARMACEUTICALS INC,30/09/2025,01/10/2025,BUY,13,4.78,62.14,-0.06,0.00,62.20

AGL AGILON HEALTH INC,30/09/2025,01/10/2025,SELL,50,1.12,56.00,-0.07,0.00,55.93

FLNC FLUENCE ENERGY INC,30/09/2025,01/10/2025,BUY,5,10.99,54.95,-0.05,0.00,55.00

APLS APELLIS PHARMACEUTICALS INC,30/09/2025,01/10/2025,BUY,3,22.59,67.77,-0.07,0.00,67.84

CLSK CLEANSPARK INC,30/09/2025,01/10/2025,SELL,8,14.79,118.32,-0.13,-0.01,118.18

FLNC FLUENCE ENERGY INC,30/09/2025,01/10/2025,BUY,12,11.40,136.80,-0.14,-0.01,136.95

NEGG NEWEGG COMMERCE INC,29/09/2025,30/09/2025,BUY,2,40.00,80.00,-0.08,-0.01,80.09

RXRX RECURSION PHARMACEUTICALS INC,29/09/2025,30/09/2025,SELL,12,4.98,59.76,-0.07,0.00,59.69

APLS APELLIS PHARMACEUTICALS INC,29/09/2025,30/09/2025,SELL,3,23.06,69.18,-0.08,0.00,69.10

AGL AGILON HEALTH INC,29/09/2025,30/09/2025,BUY,50,1.08,54.00,-0.05,0.00,54.05

DYN DYNE THERAPEUTICS INC,29/09/2025,30/09/2025,BUY,5,12.74,63.70,-0.06,0.00,63.76

NVTS NAVITAS SEMICONDUCTOR CORP,29/09/2025,30/09/2025,BUY,9,7.09,63.81,-0.06,0.00,63.87

CLSK CLEANSPARK INC,29/09/2025,30/09/2025,SELL,4,13.95,55.80,-0.07,0.00,55.73

NVTS NAVITAS SEMICONDUCTOR CORP,29/09/2025,30/09/2025,SELL,8,7.39,59.12,-0.07,0.00,59.05

CLSK CLEANSPARK INC,29/09/2025,30/09/2025,SELL,4,13.61,54.44,-0.06,0.00,54.38

NVTS NAVITAS SEMICONDUCTOR CORP,29/09/2025,30/09/2025,SELL,8,7.12,56.96,-0.07,0.00,56.89

