"                                                    Monthly Statement 2025-05"
"TRADE RECORDS "
Stocks
Currency: USD
Symbol & Name,Trade Date,Settlement Date,Buy/Sell,Quantity,Traded Price,Gross Amount,Comm/Fee/Tax,VAT,Net Amount
NEGG NEWEGG COMMERCE INC,30/05/2025,02/06/2025,BUY,12,5.11,61.32,-0.06,0.00,61.38

NVTS NAVITAS SEMICONDUCTOR CORP,30/05/2025,02/06/2025,BUY,50,5.01,250.50,-0.25,-0.02,250.77

NEGG NEWEGG COMMERCE INC,30/05/2025,02/06/2025,BUY,11,5.31,58.41,-0.06,0.00,58.47

NVTS NAVITAS SEMICONDUCTOR CORP,30/05/2025,02/06/2025,BUY,50,5.05,252.45,-0.25,-0.02,252.72

NVTS NAVITAS SEMICONDUCTOR CORP,30/05/2025,02/06/2025,BUY,10,5.10,51.00,-0.05,0.00,51.05

NVTS NAVITAS SEMICONDUCTOR CORP,30/05/2025,02/06/2025,BUY,10,5.18,51.80,-0.05,0.00,51.85

NVTS NAVITAS SEMICONDUCTOR CORP,30/05/2025,02/06/2025,BUY,10,5.18,51.80,-0.05,0.00,51.85

NEGG NEWEGG COMMERCE INC,30/05/2025,02/06/2025,BUY,11,5.54,60.94,-0.06,0.00,61.00

NVTS NAVITAS SEMICONDUCTOR CORP,30/05/2025,02/06/2025,BUY,10,5.18,51.75,-0.05,0.00,51.80

RXRX RECURSION PHARMACEUTICALS INC,30/05/2025,02/06/2025,BUY,25,4.24,106.00,-0.11,-0.01,106.12

NEGG NEWEGG COMMERCE INC,30/05/2025,02/06/2025,BUY,10,5.76,57.60,-0.06,0.00,57.66

RIVN RIVIAN AUTOMOTIVE INC,30/05/2025,02/06/2025,BUY,4,14.85,59.40,-0.06,0.00,59.46

APLS APELLIS PHARMACEUTICALS INC,29/05/2025,30/05/2025,SELL,3,17.53,52.59,-0.06,0.00,52.53

NVTS NAVITAS SEMICONDUCTOR CORP,29/05/2025,30/05/2025,BUY,10,5.36,53.60,-0.05,0.00,53.65

NVTS NAVITAS SEMICONDUCTOR CORP,29/05/2025,30/05/2025,BUY,50,5.57,278.50,-0.28,-0.02,278.80

NVTS NAVITAS SEMICONDUCTOR CORP,29/05/2025,30/05/2025,BUY,50,5.59,279.50,-0.28,-0.02,279.80

NEGG NEWEGG COMMERCE INC,29/05/2025,30/05/2025,SELL,10,6.00,60.00,-0.07,0.00,59.93

RXRX RECURSION PHARMACEUTICALS INC,29/05/2025,30/05/2025,BUY,60,4.55,272.70,-0.27,-0.02,272.99

NEGG NEWEGG COMMERCE INC,29/05/2025,30/05/2025,BUY,10,5.76,57.60,-0.06,0.00,57.66

QXO QXO INC,28/05/2025,29/05/2025,SELL,3,17.14,51.42,-0.06,0.00,51.36

NEGG NEWEGG COMMERCE INC,28/05/2025,29/05/2025,SELL,10,6.00,60.00,-0.07,0.00,59.93

NEGG NEWEGG COMMERCE INC,28/05/2025,29/05/2025,BUY,10,5.76,57.60,-0.06,0.00,57.66

APLS APELLIS PHARMACEUTICALS INC,28/05/2025,29/05/2025,BUY,4,16.94,67.76,-0.07,0.00,67.83

NVTS NAVITAS SEMICONDUCTOR CORP,27/05/2025,28/05/2025,SELL,10,7.42,74.20,-0.08,0.00,74.12

NEGG NEWEGG COMMERCE INC,27/05/2025,28/05/2025,SELL,10,6.01,60.10,-0.07,0.00,60.03

NVTS NAVITAS SEMICONDUCTOR CORP,27/05/2025,28/05/2025,SELL,10,7.38,73.80,-0.08,0.00,73.72

NVTS NAVITAS SEMICONDUCTOR CORP,27/05/2025,28/05/2025,SELL,10,7.36,73.61,-0.08,0.00,73.53

NEGG NEWEGG COMMERCE INC,27/05/2025,28/05/2025,SELL,10,5.78,57.80,-0.07,0.00,57.73

NVTS NAVITAS SEMICONDUCTOR CORP,27/05/2025,28/05/2025,SELL,50,6.90,345.00,-0.36,-0.02,344.62

NVTS NAVITAS SEMICONDUCTOR CORP,27/05/2025,28/05/2025,SELL,50,6.50,325.00,-0.34,-0.02,324.64

NVTS NAVITAS SEMICONDUCTOR CORP,27/05/2025,28/05/2025,SELL,50,6.20,310.00,-0.32,-0.02,309.66

NVTS NAVITAS SEMICONDUCTOR CORP,27/05/2025,28/05/2025,SELL,50,6.20,310.00,-0.32,-0.02,309.66

QXO QXO INC,27/05/2025,28/05/2025,BUY,1,16.46,16.46,-0.02,0.00,16.48

QXO QXO INC,27/05/2025,28/05/2025,SELL,1,16.80,16.80,-0.03,0.00,16.77

NEGG NEWEGG COMMERCE INC,27/05/2025,28/05/2025,SELL,11,5.55,61.05,-0.07,0.00,60.98

QXO QXO INC,27/05/2025,28/05/2025,SELL,1,16.62,16.62,-0.03,0.00,16.59

QXO QXO INC,27/05/2025,28/05/2025,BUY,13,16.50,214.50,-0.21,-0.01,214.72

FFWM FIRST FNDTN INC,23/05/2025,27/05/2025,SELL,12,5.31,63.72,-0.07,0.00,63.65

NEGG NEWEGG COMMERCE INC,23/05/2025,27/05/2025,SELL,11,5.34,58.74,-0.07,0.00,58.67

NEGG NEWEGG COMMERCE INC,23/05/2025,27/05/2025,BUY,12,5.14,61.68,-0.06,0.00,61.74

NEGG NEWEGG COMMERCE INC,23/05/2025,27/05/2025,BUY,11,5.35,58.85,-0.06,0.00,58.91

FFWM FIRST FNDTN INC,23/05/2025,27/05/2025,BUY,12,5.11,61.32,-0.06,0.00,61.38

RIVN RIVIAN AUTOMOTIVE INC,23/05/2025,27/05/2025,BUY,4,15.61,62.44,-0.06,0.00,62.50

NEGG NEWEGG COMMERCE INC,23/05/2025,27/05/2025,BUY,36,5.58,200.88,-0.20,-0.01,201.09

NVTS NAVITAS SEMICONDUCTOR CORP,22/05/2025,23/05/2025,SELL,100,5.40,540.00,-0.56,-0.04,539.40

NVTS NAVITAS SEMICONDUCTOR CORP,22/05/2025,23/05/2025,SELL,50,5.40,270.00,-0.28,-0.02,269.70

NVTS NAVITAS SEMICONDUCTOR CORP,22/05/2025,23/05/2025,SELL,150,5.25,787.50,-0.82,-0.06,786.62

NVTS NAVITAS SEMICONDUCTOR CORP,21/05/2025,22/05/2025,SELL,28,2.13,59.64,-0.07,0.00,59.57

RIVN RIVIAN AUTOMOTIVE INC,21/05/2025,22/05/2025,BUY,4,16.36,65.44,-0.07,0.00,65.51

APLS APELLIS PHARMACEUTICALS INC,21/05/2025,22/05/2025,BUY,3,17.56,52.68,-0.05,0.00,52.73

NEGG NEWEGG COMMERCE INC,21/05/2025,22/05/2025,SELL,9,6.45,58.05,-0.07,0.00,57.98

RIVN RIVIAN AUTOMOTIVE INC,20/05/2025,21/05/2025,SELL,3,17.14,51.42,-0.06,0.00,51.36

APLS APELLIS PHARMACEUTICALS INC,20/05/2025,21/05/2025,SELL,3,18.35,55.05,-0.07,0.00,54.98

NEGG NEWEGG COMMERCE INC,20/05/2025,21/05/2025,SELL,10,6.19,61.90,-0.07,0.00,61.83

NEGG NEWEGG COMMERCE INC,20/05/2025,21/05/2025,BUY,10,5.95,59.50,-0.06,0.00,59.56

NEGG NEWEGG COMMERCE INC,20/05/2025,21/05/2025,BUY,24,6.19,148.56,-0.15,-0.01,148.72

RIVN RIVIAN AUTOMOTIVE INC,19/05/2025,20/05/2025,SELL,4,16.42,65.68,-0.08,0.00,65.60

RIVN RIVIAN AUTOMOTIVE INC,16/05/2025,19/05/2025,SELL,4,15.76,63.04,-0.07,0.00,62.97

APLS APELLIS PHARMACEUTICALS INC,16/05/2025,19/05/2025,SELL,3,17.73,53.19,-0.06,0.00,53.13

NEGG NEWEGG COMMERCE INC,16/05/2025,19/05/2025,SELL,9,6.87,61.83,-0.07,0.00,61.76

APLS APELLIS PHARMACEUTICALS INC,16/05/2025,19/05/2025,SELL,4,16.96,67.84,-0.08,0.00,67.76

NEGG NEWEGG COMMERCE INC,16/05/2025,19/05/2025,BUY,9,6.61,59.49,-0.06,0.00,59.55

NEGG NEWEGG COMMERCE INC,16/05/2025,19/05/2025,BUY,9,6.89,62.01,-0.06,0.00,62.07

NEGG NEWEGG COMMERCE INC,16/05/2025,19/05/2025,BUY,8,7.16,57.28,-0.06,0.00,57.34

NEGG NEWEGG COMMERCE INC,16/05/2025,19/05/2025,BUY,20,7.46,149.20,-0.15,-0.01,149.36

RIVN RIVIAN AUTOMOTIVE INC,15/05/2025,16/05/2025,SELL,4,15.15,60.60,-0.07,0.00,60.53

APLS APELLIS PHARMACEUTICALS INC,15/05/2025,16/05/2025,BUY,4,16.36,65.44,-0.07,0.00,65.51

NEGG NEWEGG COMMERCE INC,15/05/2025,16/05/2025,SELL,7,8.30,58.10,-0.07,0.00,58.03

FFWM FIRST FNDTN INC,15/05/2025,16/05/2025,SELL,12,5.31,63.72,-0.07,0.00,63.65

FFWM FIRST FNDTN INC,15/05/2025,16/05/2025,BUY,12,5.11,61.32,-0.06,0.00,61.38

FFWM FIRST FNDTN INC,15/05/2025,16/05/2025,SELL,11,5.32,58.52,-0.07,0.00,58.45

FFWM FIRST FNDTN INC,15/05/2025,16/05/2025,BUY,11,5.53,60.83,-0.06,0.00,60.89

NEGG NEWEGG COMMERCE INC,14/05/2025,15/05/2025,SELL,8,7.96,63.68,-0.07,0.00,63.61

NVTS NAVITAS SEMICONDUCTOR CORP,14/05/2025,15/05/2025,BUY,28,2.05,57.40,-0.06,0.00,57.46

NEGG NEWEGG COMMERCE INC,14/05/2025,15/05/2025,SELL,8,7.65,61.20,-0.07,0.00,61.13

NEGG NEWEGG COMMERCE INC,14/05/2025,15/05/2025,SELL,8,7.46,59.69,-0.07,0.00,59.62

NEGG NEWEGG COMMERCE INC,14/05/2025,15/05/2025,SELL,8,7.09,56.72,-0.07,0.00,56.65

NEGG NEWEGG COMMERCE INC,14/05/2025,15/05/2025,SELL,9,6.81,61.29,-0.07,0.00,61.22

NEGG NEWEGG COMMERCE INC,14/05/2025,15/05/2025,SELL,9,6.55,58.95,-0.07,0.00,58.88

NEGG NEWEGG COMMERCE INC,14/05/2025,15/05/2025,SELL,10,6.29,62.90,-0.07,0.00,62.83

NEGG NEWEGG COMMERCE INC,14/05/2025,15/05/2025,SELL,10,6.05,60.50,-0.07,0.00,60.43

NEGG NEWEGG COMMERCE INC,14/05/2025,15/05/2025,SELL,10,5.82,58.20,-0.07,0.00,58.13

NEGG NEWEGG COMMERCE INC,14/05/2025,15/05/2025,SELL,11,5.59,61.49,-0.07,0.00,61.42

NEGG NEWEGG COMMERCE INC,14/05/2025,15/05/2025,SELL,11,5.38,59.18,-0.07,0.00,59.11

APLS APELLIS PHARMACEUTICALS INC,14/05/2025,15/05/2025,BUY,4,17.14,68.56,-0.07,0.00,68.63

NEGG NEWEGG COMMERCE INC,13/05/2025,14/05/2025,SELL,11,5.18,56.98,-0.08,0.00,56.90

NEGG NEWEGG COMMERCE INC,13/05/2025,14/05/2025,SELL,12,4.98,59.76,-0.08,0.00,59.68

NVTS NAVITAS SEMICONDUCTOR CORP,13/05/2025,14/05/2025,SELL,28,2.13,59.64,-0.08,0.00,59.56

NEGG NEWEGG COMMERCE INC,13/05/2025,14/05/2025,SELL,12,4.80,57.60,-0.08,0.00,57.52

NEGG NEWEGG COMMERCE INC,12/05/2025,13/05/2025,SELL,13,4.62,60.06,-0.08,0.00,59.98

FFWM FIRST FNDTN INC,12/05/2025,13/05/2025,BUY,11,5.31,58.41,-0.06,0.00,58.47

NEGG NEWEGG COMMERCE INC,12/05/2025,13/05/2025,SELL,13,4.44,57.72,-0.08,0.00,57.64

NVTS NAVITAS SEMICONDUCTOR CORP,12/05/2025,13/05/2025,BUY,31,2.05,63.55,-0.06,0.00,63.61

NVTS NAVITAS SEMICONDUCTOR CORP,12/05/2025,13/05/2025,SELL,27,2.14,57.78,-0.08,0.00,57.70

NVTS NAVITAS SEMICONDUCTOR CORP,12/05/2025,13/05/2025,BUY,30,2.06,61.80,-0.06,0.00,61.86

NEGG NEWEGG COMMERCE INC,12/05/2025,13/05/2025,SELL,14,4.27,59.78,-0.08,0.00,59.70

NVTS NAVITAS SEMICONDUCTOR CORP,12/05/2025,13/05/2025,SELL,27,2.15,58.05,-0.08,0.00,57.97

NVTS NAVITAS SEMICONDUCTOR CORP,12/05/2025,13/05/2025,SELL,29,2.07,60.03,-0.08,0.00,59.95

FFWM FIRST FNDTN INC,12/05/2025,13/05/2025,SELL,11,5.53,60.83,-0.08,0.00,60.75

NVTS NAVITAS SEMICONDUCTOR CORP,12/05/2025,13/05/2025,SELL,31,1.99,61.69,-0.08,0.00,61.61

RIVN RIVIAN AUTOMOTIVE INC,09/05/2025,12/05/2025,SELL,4,14.58,58.32,-0.08,0.00,58.24

