"                                                    Monthly Statement 2025-04"
"TRADE RECORDS "
Stocks
Currency: USD
Symbol & Name,Trade Date,Settlement Date,Buy/Sell,Quantity,Traded Price,Gross Amount,Comm/Fee/Tax,VAT,Net Amount
NVTS NAVITAS SEMICONDUCTOR CORP,30/04/2025,01/05/2025,BUY,50,1.86,93.00,-0.09,-0.01,93.10

FFWM FIRST FNDTN INC,30/04/2025,01/05/2025,SELL,11,5.13,56.43,-0.08,0.00,56.35

APLS APELLIS PHARMACEUTICALS INC,29/04/2025,30/04/2025,SELL,3,18.35,55.05,-0.08,0.00,54.97

FFWM FIRST FNDTN INC,29/04/2025,30/04/2025,SELL,13,4.91,63.83,-0.08,0.00,63.75

NEGG NEWEGG COMMERCE INC,29/04/2025,30/04/2025,BUY,16,3.76,60.11,-0.06,0.00,60.17

NEGG NEWEGG COMMERCE INC,28/04/2025,29/04/2025,SELL,6,4.01,24.06,-0.04,0.00,24.02

RIVN RIVIAN AUTOMOTIVE INC,28/04/2025,29/04/2025,SELL,5,13.22,66.10,-0.09,0.00,66.01

NVTS NAVITAS SEMICONDUCTOR CORP,28/04/2025,29/04/2025,BUY,29,1.99,57.71,-0.06,0.00,57.77

NVTS NAVITAS SEMICONDUCTOR CORP,28/04/2025,29/04/2025,SELL,27,2.07,55.89,-0.08,0.00,55.81

RIVN RIVIAN AUTOMOTIVE INC,28/04/2025,29/04/2025,SELL,5,12.68,63.40,-0.08,0.00,63.32

FFWM FIRST FNDTN INC,25/04/2025,28/04/2025,BUY,13,4.72,61.36,-0.06,0.00,61.42

NEGG NEWEGG COMMERCE INC,25/04/2025,28/04/2025,BUY,16,3.86,61.76,-0.06,0.00,61.82

FFWM FIRST FNDTN INC,25/04/2025,28/04/2025,BUY,12,4.91,58.92,-0.06,0.00,58.98

APLS APELLIS PHARMACEUTICALS INC,25/04/2025,28/04/2025,BUY,3,17.26,51.77,-0.05,0.00,51.82

NVTS NAVITAS SEMICONDUCTOR CORP,24/04/2025,25/04/2025,SELL,20,2.00,40.00,-0.06,0.00,39.94

NEGG NEWEGG COMMERCE INC,24/04/2025,25/04/2025,SELL,12,4.02,48.24,-0.07,0.00,48.17

NVTS NAVITAS SEMICONDUCTOR CORP,24/04/2025,25/04/2025,SELL,20,1.94,38.80,-0.06,0.00,38.74

FFWM FIRST FNDTN INC,24/04/2025,25/04/2025,SELL,9,5.17,46.53,-0.07,0.00,46.46

