"                                                    Monthly Statement 2025-03"
"TRADE RECORDS "
Stocks
Currency: USD
Symbol & Name,Trade Date,Settlement Date,Buy/Sell,Quantity,Traded Price,Gross Amount,Comm/Fee/Tax,VAT,Net Amount
NEGG NEWEGG COMMERCE INC,31/03/2025,01/04/2025,BUY,213,0.26,55.21,-0.07,0.00,55.28

FFWM FIRST FNDTN INC,31/03/2025,01/04/2025,SELL,12,5.20,62.40,-0.08,0.00,62.32

APLS APELLIS PHARMACEUTICALS INC,31/03/2025,01/04/2025,BUY,3,23.23,69.69,-0.07,0.00,69.76

FFWM FIRST FNDTN INC,31/03/2025,01/04/2025,SELL,12,5.00,60.00,-0.08,0.00,59.92

NEGG NEWEGG COMMERCE INC,28/03/2025,31/03/2025,SELL,213,0.27,57.51,-0.12,0.00,57.39

FFWM FIRST FNDTN INC,28/03/2025,31/03/2025,BUY,12,4.80,57.60,-0.06,0.00,57.66

NEGG NEWEGG COMMERCE INC,28/03/2025,31/03/2025,BUY,213,0.26,55.38,-0.07,0.00,55.45

RIVN RIVIAN AUTOMOTIVE INC,27/03/2025,28/03/2025,SELL,5,13.00,65.00,-0.09,0.00,64.91

APLS APELLIS PHARMACEUTICALS INC,27/03/2025,28/03/2025,SELL,2,24.38,48.76,-0.07,0.00,48.69

NVTS NAVITAS SEMICONDUCTOR CORP,27/03/2025,28/03/2025,BUY,31,2.09,64.72,-0.06,0.00,64.78

RIVN RIVIAN AUTOMOTIVE INC,26/03/2025,27/03/2025,SELL,5,12.48,62.40,-0.08,0.00,62.32

NEGG NEWEGG COMMERCE INC,26/03/2025,27/03/2025,BUY,199,0.27,53.71,-0.06,0.00,53.77

NVTS NAVITAS SEMICONDUCTOR CORP,25/03/2025,26/03/2025,BUY,19,2.17,41.23,-0.04,0.00,41.27

APLS APELLIS PHARMACEUTICALS INC,25/03/2025,26/03/2025,BUY,3,23.61,70.83,-0.07,0.00,70.90

NEGG NEWEGG COMMERCE INC,25/03/2025,26/03/2025,BUY,285,0.28,79.80,-0.09,-0.01,79.90

NVTS NAVITAS SEMICONDUCTOR CORP,24/03/2025,25/03/2025,BUY,28,2.26,63.28,-0.06,0.00,63.34

RIVN RIVIAN AUTOMOTIVE INC,24/03/2025,25/03/2025,SELL,5,12.00,60.00,-0.08,0.00,59.92

NVTS NAVITAS SEMICONDUCTOR CORP,24/03/2025,25/03/2025,BUY,26,2.36,61.36,-0.06,0.00,61.42

NVTS NAVITAS SEMICONDUCTOR CORP,24/03/2025,25/03/2025,BUY,42,2.43,102.03,-0.10,-0.01,102.14

RIVN RIVIAN AUTOMOTIVE INC,21/03/2025,24/03/2025,SELL,5,11.56,57.80,-0.08,0.00,57.72

NEGG NEWEGG COMMERCE INC,21/03/2025,24/03/2025,SELL,100,0.30,30.00,-0.06,0.00,29.94

NEGG NEWEGG COMMERCE INC,21/03/2025,24/03/2025,BUY,233,0.29,67.57,-0.08,0.00,67.65

FFWM FIRST FNDTN INC,20/03/2025,21/03/2025,SELL,12,5.00,60.00,-0.08,0.00,59.92

NEGG NEWEGG COMMERCE INC,20/03/2025,21/03/2025,BUY,100,0.30,30.00,-0.03,0.00,30.03

RIVN RIVIAN AUTOMOTIVE INC,20/03/2025,21/03/2025,BUY,5,11.08,55.40,-0.06,0.00,55.46

NEGG NEWEGG COMMERCE INC,19/03/2025,20/03/2025,SELL,161,0.31,49.91,-0.10,0.00,49.81

APLS APELLIS PHARMACEUTICALS INC,19/03/2025,20/03/2025,BUY,2,24.41,48.82,-0.05,0.00,48.87

NEGG NEWEGG COMMERCE INC,19/03/2025,20/03/2025,SELL,172,0.30,51.60,-0.10,0.00,51.50

NEGG NEWEGG COMMERCE INC,18/03/2025,19/03/2025,SELL,185,0.29,53.65,-0.10,0.00,53.55

